t,phase,temp,power,sm_mhz,throttle
33.337,load,63,24.716,1245,1
33.388,load,63,24.716,1245,1
33.438,load,63,23.335,1170,1
33.489,load,63,23.335,1170,1
33.539,load,63,23.335,1170,1
33.59,load,63,23.335,1170,1
33.64,load,63,23.335,1170,1
33.69,load,63,23.335,1170,1
33.741,load,63,23.335,1170,1
33.791,load,63,23.335,1170,1
33.842,load,63,23.335,1170,1
33.892,load,63,23.335,1170,1
33.943,load,63,22.481,1162,1
33.993,load,63,22.481,1162,1
34.043,load,63,22.481,1162,1
34.094,load,63,22.481,1162,1
34.144,load,63,22.481,1162,1
34.194,load,63,22.481,1162,1
34.244,load,63,22.481,1162,1
34.295,load,63,22.481,1162,1
34.346,load,63,22.481,1162,1
34.396,load,63,22.481,1162,1
34.447,load,63,23.658,1140,1
34.497,load,63,23.658,1140,1
34.548,load,63,23.658,1140,1
34.598,load,63,23.658,1140,1
34.648,load,63,23.658,1140,1
34.699,load,63,23.658,1140,1
34.749,load,63,23.658,1140,1
34.799,load,63,23.658,1140,1
34.85,load,63,23.658,1140,1
34.9,load,63,23.658,1140,1
34.951,load,63,23.677,1140,1
35.001,load,63,23.677,1140,1
35.052,load,63,23.677,1140,1
35.102,load,63,23.677,1140,1
35.153,load,63,23.677,1140,1
35.203,load,63,23.677,1140,1
35.254,load,63,23.677,1140,1
35.304,load,63,23.677,1140,1
35.355,load,63,23.677,1140,1
35.406,load,63,23.677,1140,1
35.456,load,63,23.576,1140,1
35.506,load,63,23.576,1140,1
35.556,load,63,23.576,1140,1
35.607,load,63,23.576,1140,1
35.658,load,63,23.576,1140,1
35.708,load,63,23.576,1140,1
35.759,load,63,23.576,1140,1
35.809,load,63,23.576,1140,1
35.86,load,63,23.576,1140,1
35.91,load,63,23.576,1140,1
35.961,load,63,23.559,1140,1
36.011,load,63,23.559,1140,1
36.062,load,63,23.559,1140,1
36.112,load,63,23.559,1140,1
36.162,load,63,23.559,1140,1
36.213,load,63,23.559,1140,1
36.263,load,63,23.559,1140,1
36.313,load,63,23.559,1140,1
36.364,load,63,23.559,1140,1
36.414,load,63,23.559,1140,1
36.465,load,63,23.88,1132,1
36.515,load,63,23.88,1132,1
36.566,load,63,23.88,1132,1
36.616,load,63,23.88,1132,1
36.666,load,63,23.88,1132,1
36.717,load,63,23.88,1132,1
36.767,load,63,23.88,1132,1
36.818,load,63,23.88,1132,1
36.868,load,63,23.88,1132,1
36.919,load,63,23.88,1132,1
36.969,load,63,23.626,1132,1
37.02,load,63,23.626,1132,1
37.07,load,63,23.626,1132,1
37.121,load,63,23.626,1132,1
37.171,load,63,23.626,1132,1
